--- Found Similar Matches ---
Jacket: CRAZY_FOR_YOU -> Metadata Key: SMILE_FOR_YOU
Jacket: Crescent_Letter -> Metadata Key: Crescent:Letter
Jacket: CRIES_IN_THE_WILDERNESS_old -> Metadata Key: CRIES_IN_THE_WILDERNESS
Jacket: Daikenkai_GFDM -> Metadata Key: Daikenkai
Jacket: Dakara_kimi_janai -> Metadata Key: Dakara_kimi_janai.
Jacket: Dance_the_Night_Away -> Metadata Key: Dance_the_night_away
Jacket: Dance_the_Night_Away_old -> Metadata Key: Dance_the_night_away
Jacket: Dare -> Metadata Key: Dare%3F
Jacket: Dare_old -> Metadata Key: Marigold
Jacket: Darling_my_LUV_old -> Metadata Key: Darling_my_LUV
Jacket: Day's! -> Metadata Key: Day%27s!
Jacket: DAY_DREAM_(CLASSIC) -> Metadata Key: DAY_DREAM
Jacket: DEADMAN'S_BED -> Metadata Key: DEADMAN%27S_BED
Jacket: DEADMAN'S_BED_old -> Metadata Key: DEADMAN%27S_BED
Jacket: Dedication_old -> Metadata Key: Dedication
Jacket: DELIGHT -> Metadata Key: PRIME_LIGHT
Jacket: Dendenpassion -> Metadata Key: Dedication
Jacket: DEPARTURE_old -> Metadata Key: DEPARTURE
Jacket: DEPEND_ON_ME_(Long_Version) -> Metadata Key: DEPEND_ON_ME_(CD_Version)
Jacket: Desert_rain -> Metadata Key: Desert_Rose
Jacket: Destroy_march_NOV -> Metadata Key: Destroy_march
Jacket: Destructive_Wave_old -> Metadata Key: Destructive_Wave
Jacket: Devil's_Rule -> Metadata Key: Devil%27s_Rule
Jacket: Die_Zauberflote_(CLASSIC) -> Metadata Key: Die_Zauberflote
Jacket: Din_Don_Dan -> Metadata Key: Ding_Dong_Bell
Jacket: Discommunication -> Metadata Key: Dedication
Jacket: DOKI_DOKI_old -> Metadata Key: DOKI_DOKI
Jacket: DOKI_DOKI_PUFFY -> Metadata Key: DOKI_DOKI
Jacket: Don't_Break_Up -> Metadata Key: Don%27t_Break_Up
Jacket: DOUBLE_ORBIT -> Metadata Key: DOUBLE_IMPACT
Jacket: Double_Trouble_old -> Metadata Key: Double_Trouble
Jacket: Dragon_Blade_(CLASSIC) -> Metadata Key: Dragon_Blade
Jacket: Dragon_Blade_jubeat -> Metadata Key: Dragon_Blade
Jacket: Dragon_Blade_old -> Metadata Key: Dragon_Blade
Jacket: Dreamer's_High -> Metadata Key: Dreamer%27s_High
Jacket: Dreams_in_the_night_old -> Metadata Key: Dreams_in_the_night
Jacket: DREAM_RUSH_old -> Metadata Key: DREAM_RUSH
Jacket: Driven_Shooter_old -> Metadata Key: Driven_Shooter
Jacket: Dynamis_old -> Metadata Key: Dynamis
Jacket: E-MAIL_ME!_old -> Metadata Key: E-MAIL_ME!
Jacket: ECLIPSE -> Metadata Key: ECLIPSE_2
Jacket: Einherjar_(CLASSIC) -> Metadata Key: Einherjar
Jacket: Electric_Lady_old -> Metadata Key: Electric_Lady
Jacket: Electric_Sun -> Metadata Key: Electric_Lady
Jacket: El_Dorado_(CLASSIC) -> Metadata Key: El_Dorado
Jacket: El_Dorado_old -> Metadata Key: El_Dorado
Jacket: EMPIRE_OF_FLAME_EXH -> Metadata Key: EMPIRE_OF_FLAME
Jacket: ENCORE_CONQUEST_unused -> Metadata Key: ENCORE_CONQUEST
Jacket: Endless_Chain -> Metadata Key: Endless_cruising
Jacket: Escape_(Chelsy) -> Metadata Key: Escape_Velocity
Jacket: Excavation_Damage_(CLASSIC) -> Metadata Key: Excavation_Damage
Jacket: EXCELSIOR_DIVE_(CLASSIC) -> Metadata Key: EXCELSIOR_DIVE
Jacket: Factor_of_adhesion_jk -> Metadata Key: Factor_of_adhesion
Jacket: Fairy_Tales_old -> Metadata Key: Fairy_Tales
Jacket: Fantasista -> Metadata Key: Sanagi_sai
Jacket: Far_Beyond_Blackened_old -> Metadata Key: Far_Beyond_Blackened
Jacket: Fast_Forward -> Metadata Key: Step_forward
Jacket: Fat_Lip -> Metadata Key: Fat_snail
Jacket: FEEL_the_BREEZE_old -> Metadata Key: FEEL_the_BREEZE
Jacket: FEEL_THE_EARTH_old -> Metadata Key: FEEL_THE_EARTH
Jacket: FIGHT_FOR_YOUR_LIFE_old -> Metadata Key: FIGHT_FOR_YOUR_LIFE
Jacket: First_Date_old -> Metadata Key: First_Date
Jacket: Flip_book_story -> Metadata Key: Flip_book*story
Jacket: Flow_old -> Metadata Key: Flow
Jacket: FORCE_Interval_Build_old -> Metadata Key: FORCE_Interval_Build
Jacket: Forever_free_old -> Metadata Key: Forever_free
Jacket: FOR_THE_FINAL_(CLASSIC) -> Metadata Key: FOR_THE_FINAL
Jacket: FOR_THE_FINAL_old -> Metadata Key: FOR_THE_FINAL
Jacket: For_You -> Metadata Key: Forever_Young
Jacket: Friends -> Metadata Key: My_Friend
Jacket: Funky_sonic_World_(CLASSIC) -> Metadata Key: Funky_sonic_World
Jacket: Fushigida_Nippon_old -> Metadata Key: Fushigida_Nippon
Jacket: Futari_wa_love_love(kari)_old -> Metadata Key: Futari_wa_love_love(kari)
Jacket: Fuujin_unryuuden_(CLASSIC) -> Metadata Key: Fuujin_unryuuden
Jacket: Fuujin_unryuuden_old -> Metadata Key: Fuujin_unryuuden
Jacket: Fuurin_hanabi_(unused) -> Metadata Key: Fuurin_hanabi
Jacket: Fuu_rai -> Metadata Key: rai
Jacket: Game_yori_ai_wo_komete_(CLASSIC) -> Metadata Key: Game_yori_ai_wo_komete
Jacket: Geigeki_no_forte_old -> Metadata Key: Geigeki_no_forte
Jacket: Gensou_raijinki_(CLASSIC) -> Metadata Key: Gensou_raijinki
Jacket: GETAWAY_old -> Metadata Key: GETAWAY
Jacket: GET_IT_ALL_old -> Metadata Key: GET_IT_ALL
Jacket: GET_READY_old -> Metadata Key: GET_READY
Jacket: GIANT_SLUG_old -> Metadata Key: GIANT_SLUG
Jacket: Glass_no_kobune_old -> Metadata Key: Glass_no_kobune
Jacket: Going_my_way!_old -> Metadata Key: Going_my_way!
Jacket: Going_up_old -> Metadata Key: Going_up
Jacket: Goodbye_sengen_GITADORA -> Metadata Key: Goodbye_sengen
Jacket: Good_bye,_Summer~sayonara_wa_iwanai~_GFDM -> Metadata Key: Good_bye,_Summer~sayonara_wa_iwanai~
Jacket: GORI_GORI_old -> Metadata Key: GORI_GORI
Jacket: Go_my_way -> Metadata Key: Going_my_way!
Jacket: Green_Lime_(CLASSIC) -> Metadata Key: Green_Lime
Jacket: Green_Lime_old -> Metadata Key: Green_Lime
Jacket: Guitar_drive_old -> Metadata Key: Guitar_drive
Jacket: Gurenge -> Metadata Key: Surge
Jacket: Haha_ni_dakarete_Sandogasa_Ponta -> Metadata Key: Kaze_ni_fukarete_Sandogasa_Ponta
Jacket: Hanabi -> Metadata Key: Sanagi
Jacket: Hanamaru_pippi_wa_yoiko_dake_old -> Metadata Key: Hanamaru_pippi_wa_yoiko_dake
Jacket: Handsome_JET_L-Project_old -> Metadata Key: Handsome_JET_L-Project
Jacket: Hanenaki_shoujo_uta_new -> Metadata Key: Hanenaki_shoujo_uta
Jacket: Hanenaki_shoujo_uta_old -> Metadata Key: Hanenaki_shoujo_uta
Jacket: HARUKAZE_(BEMANI_Sound_Team__TATSUYA_) -> Metadata Key: HARUKAZE_(BEMANI_Sound_Team_%22TATSUYA%22)
Jacket: HEAVEN'S_COCKTAIL -> Metadata Key: HEAVEN%27S_COCKTAIL
Jacket: HEAVEN_INSIDE_old -> Metadata Key: HEAVEN_INSIDE
Jacket: Heaven_is_a_'57_metallic_gray -> Metadata Key: Heaven_is_a_%2757_metallic_gray
Jacket: HELPLESS -> Metadata Key: BELLS
Jacket: Highway_star_old -> Metadata Key: Highway_star
Jacket: Hikooki_old -> Metadata Key: Hikooki
Jacket: Himawari_EXCHAIN -> Metadata Key: Himawari*EXCHAIN
Jacket: Hitoribocchi_old -> Metadata Key: Hitoribocchi
Jacket: Hitori_asobi_old -> Metadata Key: Hitori_asobi
Jacket: Hitoyo_no_kiseki_(Long_Version) -> Metadata Key: Hitoyo_no_kiseki
Jacket: Homesick_Pt.2&3 -> Metadata Key: Homesick_Pt.2%263
Jacket: Home_Girl -> Metadata Key: Sunflower_Girl
Jacket: Honolulu_Loco_Boy_old -> Metadata Key: Honolulu_Loco_Boy
Jacket: Hoshifuri_(CLASSIC) -> Metadata Key: Hoshifuri
Jacket: Hoshifuri_old -> Metadata Key: Hoshifuri
Jacket: Hoshi_no_kakera -> Metadata Key: Romantic_no_kakera
Jacket: Hoshi_no_sumika -> Metadata Key: Hakoniwa_no_sekai
Jacket: Hotaru_old -> Metadata Key: Hotaru
Jacket: How_do_you_feel -> Metadata Key: How_do_you_feel%3F
Jacket: How_do_you_feel_old -> Metadata Key: How_do_you_feel%3F
Jacket: Humming_rabbit_old -> Metadata Key: Humming_rabbit
Jacket: I'm_a_loser -> Metadata Key: I%27m_a_loser
Jacket: I'M_GONNA_GET_YOU! -> Metadata Key: I%27M_GONNA_GET_YOU!
Jacket: I'M_GONNA_GET_YOU!_old -> Metadata Key: I%27M_GONNA_GET_YOU!
Jacket: I'm_so_Happy_(Rockin'_ver.) -> Metadata Key: I%27m_so_Happy_(Rockin%27_ver.)
Jacket: Ichimoudajin_(CLASSIC) -> Metadata Key: Ichimoudajin
Jacket: Icicles_GFDM -> Metadata Key: Icicles
Jacket: Ijiwaru_na_anata_(CLASSIC) -> Metadata Key: Ijiwaru_na_anata
Jacket: Ijiwaru_na_anata_old -> Metadata Key: Ijiwaru_na_anata
Jacket: Illuminati_~hikari_wo_motomeru_monotachi~_(CLASSIC) -> Metadata Key: Illuminati_~hikari_wo_motomeru_monotachi~
Jacket: INSIDE-OUT_old -> Metadata Key: INSIDE-OUT
Jacket: Invitation -> Metadata Key: Invitation_from_ZEN
Jacket: In_control_old -> Metadata Key: In_control
